Brand_Model,Engine_Type,Condition,Region,Year,Mileage,Price
Toyota RAV4,Diesel,Used,Novosibirsk,2013,236160,217233
Nissan Qashqai,Petrol,Good,Ekaterinburg,2015,148371,429073
Renault Duster,Diesel,Excellent,Samara,2014,274549,189926
Lada Granta,Electric,Used,Moscow,2024,200967,525607
Kia K5,Hybrid,Excellent,Krasnodar,2017,88246,633374
Hyundai Solaris,Diesel,Fair,Ekaterinburg,2018,38656,645918
Lada Granta,Electric,Used,St. Petersburg,2010,160525,154324
Lada Vesta,Hybrid,Excellent,Krasnodar,2020,72759,471252
Mercedes-Benz C-Class,Electric,Used,Krasnodar,2024,192925,3104769
Volkswagen Tiguan,Diesel,Good,Novosibirsk,2015,67684,449893
Kia K5,Hybrid,Fair,Kazan,2017,288861,587414
Skoda Kodiaq,Diesel,Used,St. Petersburg,2010,155450,205657
Mercedes-Benz GLE,Petrol,Used,St. Petersburg,2015,86350,1087018
Lada Niva,Electric,Used,Moscow,2023,151825,597851
Volkswagen Polo,Diesel,Good,St. Petersburg,2010,148246,187069
Kia Sportage,Diesel,Used,St. Petersburg,2018,183339,648822
Renault Duster,Diesel,Excellent,Krasnodar,2022,19990,1014221
Toyota RAV4,Electric,Used,St. Petersburg,2017,200321,488761
Volkswagen Polo,Hybrid,Good,Novosibirsk,2020,194968,836331
Mercedes-Benz E-Class,Hybrid,Good,St. Petersburg,2017,180477,1209932
Nissan Juke,Petrol,Excellent,Krasnodar,2011,161820,258146
Skoda Rapid,Hybrid,Excellent,St. Petersburg,2016,83520,631937
Kia Rio,Diesel,Good,Samara,2012,23903,232257
Skoda Kodiaq,Electric,Excellent,Novosibirsk,2017,141086,614928
Mercedes-Benz E-Class,Electric,Excellent,Krasnodar,2020,239597,1749403
BMW X5,Petrol,Fair,Novosibirsk,2013,37211,878541
BMW 3-Series,Hybrid,Used,Krasnodar,2016,281356,1126301
Toyota RAV4,Petrol,Used,Krasnodar,2020,100661,949231
Renault Logan,Hybrid,Used,Kazan,2024,58403,1336589
Nissan Juke,Electric,Excellent,Rostov,2018,13479,825768
Skoda Rapid,Petrol,Good,Moscow,2016,280967,370497
BMW 3-Series,Electric,Fair,Krasnodar,2022,119071,2743543
Renault Logan,Electric,Used,Kazan,2017,158416,505305
BMW 5-Series,Electric,Used,Novosibirsk,2016,29355,1276940
Renault Logan,Electric,Excellent,St. Petersburg,2017,251307,546680
Volkswagen Passat,Electric,Excellent,Kazan,2021,250575,711641
Kia Sportage,Hybrid,Good,Kazan,2019,282004,534052
Hyundai Tucson,Electric,Excellent,Samara,2018,6676,772594
BMW 5-Series,Hybrid,Good,Novosibirsk,2018,189642,1580044
Volkswagen Tiguan,Electric,Excellent,St. Petersburg,2024,166129,1205374
Skoda Octavia,Diesel,Used,Samara,2010,230291,208908
BMW X5,Hybrid,Used,Krasnodar,2012,232297,767921
Toyota Camry,Petrol,Excellent,Rostov,2023,71521,1326311
Mercedes-Benz C-Class,Hybrid,Fair,Moscow,2023,112046,3014556
Toyota Camry,Diesel,Excellent,Moscow,2017,163692,664355
Mercedes-Benz GLE,Petrol,Fair,Samara,2011,258733,421736
Volkswagen Passat,Hybrid,Good,Ekaterinburg,2018,226683,664443
Hyundai Solaris,Electric,Fair,Samara,2016,104027,587829
Hyundai Creta,Diesel,Excellent,Novosibirsk,2012,117275,286785
Mercedes-Benz GLE,Hybrid,Fair,Rostov,2021,254211,2085893
Hyundai Tucson,Diesel,Excellent,Kazan,2013,9705,367457
Lada Vesta,Hybrid,Good,Ekaterinburg,2017,268694,150000
Skoda Kodiaq,Petrol,Excellent,Krasnodar,2022,34853,1046277
Kia Rio,Diesel,Good,Samara,2013,225738,285636
Lada Niva,Electric,Used,Kazan,2023,209881,299990
Lada Granta,Petrol,Good,Rostov,2020,87235,358371
Hyundai Tucson,Diesel,Used,St. Petersburg,2017,71032,708737
Kia K5,Hybrid,Used,Rostov,2011,167747,385799
BMW 3-Series,Diesel,Excellent,Moscow,2012,178237,692582
Kia Sportage,Electric,Excellent,Krasnodar,2017,70602,607799
Toyota RAV4,Diesel,Fair,Rostov,2024,81356,1305579
Nissan X-Trail,Diesel,Good,Novosibirsk,2022,141233,1110803
Toyota Camry,Electric,Fair,Novosibirsk,2012,186783,225885
BMW 3-Series,Diesel,Fair,Rostov,2015,290958,952043
Skoda Octavia,Petrol,Good,Samara,2021,174603,736232
BMW 5-Series,Electric,Good,Novosibirsk,2014,183855,1029679
Nissan Qashqai,Electric,Good,Rostov,2014,130276,428271
Kia K5,Diesel,Fair,Rostov,2011,241622,229059
Renault Duster,Electric,Good,Ekaterinburg,2023,121607,1134770
Lada Granta,Petrol,Good,Novosibirsk,2011,146368,150000
Kia Rio,Petrol,Used,Krasnodar,2019,269549,567470
Volkswagen Tiguan,Electric,Used,Krasnodar,2020,56993,825247
BMW 3-Series,Electric,Used,Kazan,2017,12229,1534193
Skoda Kodiaq,Petrol,Excellent,Kazan,2014,98757,483295
Nissan Juke,Hybrid,Good,Novosibirsk,2013,217286,241261
Kia Sportage,Petrol,Fair,St. Petersburg,2024,106193,1377897
Skoda Octavia,Petrol,Excellent,Krasnodar,2011,192961,284067
Toyota Camry,Hybrid,Good,St. Petersburg,2011,194204,150000
Renault Duster,Petrol,Excellent,Moscow,2010,52837,329367
Toyota Corolla,Hybrid,Used,Samara,2019,143190,653851
Skoda Rapid,Diesel,Fair,Moscow,2016,228501,334940
Renault Logan,Diesel,Fair,Krasnodar,2011,265264,181924
Renault Sandero,Electric,Fair,Ekaterinburg,2024,161390,1395076
Renault Sandero,Hybrid,Good,Samara,2018,115153,746878
Toyota Corolla,Diesel,Good,Krasnodar,2019,71813,847283
Renault Duster,Electric,Fair,Krasnodar,2019,37389,747717
Volkswagen Polo,Diesel,Fair,Krasnodar,2020,171501,718899
Volkswagen Polo,Petrol,Good,Samara,2023,288158,859596
Kia K5,Electric,Used,Ekaterinburg,2012,68136,324072
Skoda Octavia,Electric,Excellent,St. Petersburg,2022,210655,854909
Hyundai Tucson,Electric,Fair,Novosibirsk,2013,73185,201387
Mercedes-Benz C-Class,Hybrid,Fair,Moscow,2021,252454,1944316
Nissan X-Trail,Petrol,Fair,Kazan,2013,167422,462281
Kia K5,Hybrid,Good,Kazan,2010,280230,259444
Toyota RAV4,Petrol,Fair,Novosibirsk,2015,275652,480019
Toyota Camry,Diesel,Fair,Novosibirsk,2020,112824,795861
Nissan Qashqai,Petrol,Fair,Novosibirsk,2014,77114,369731
Mercedes-Benz C-Class,Petrol,Excellent,Novosibirsk,2012,33594,833051
Mercedes-Benz GLE,Electric,Fair,Kazan,2011,262177,636092
Mercedes-Benz GLE,Petrol,Fair,Samara,2020,243193,1731497
Volkswagen Polo,Petrol,Excellent,Ekaterinburg,2021,155972,870477
BMW X5,Hybrid,Fair,St. Petersburg,2024,220482,2955818
Volkswagen Passat,Electric,Good,Rostov,2010,131022,287829
Mercedes-Benz C-Class,Petrol,Fair,Kazan,2021,144575,2263892
Nissan Juke,Diesel,Used,Krasnodar,2018,257210,532632
Hyundai Creta,Diesel,Used,Moscow,2016,203813,514658
Skoda Octavia,Electric,Good,Krasnodar,2021,244957,732182
Volkswagen Passat,Petrol,Good,Samara,2019,249114,764807
Toyota Camry,Hybrid,Fair,Moscow,2017,98542,484286
Kia K5,Electric,Good,Samara,2011,110733,304114
Nissan Qashqai,Electric,Used,Ekaterinburg,2024,182862,1280464
Nissan Qashqai,Hybrid,Good,Novosibirsk,2016,136554,537047
Nissan Juke,Petrol,Used,Moscow,2015,221379,433146
Hyundai Solaris,Electric,Good,Krasnodar,2023,29001,1150459
Mercedes-Benz E-Class,Petrol,Excellent,Samara,2024,112456,3536673
Toyota Camry,Petrol,Excellent,Moscow,2017,63953,549339
Lada Granta,Hybrid,Good,Samara,2023,115628,373846
BMW 3-Series,Electric,Good,Kazan,2017,123504,1407548
Mercedes-Benz C-Class,Hybrid,Used,Novosibirsk,2014,213093,986776
Volkswagen Tiguan,Diesel,Fair,Ekaterinburg,2011,63874,249600
Hyundai Tucson,Diesel,Fair,Samara,2021,81199,1041136
Toyota RAV4,Electric,Good,Rostov,2011,20170,190452
Renault Sandero,Hybrid,Used,Samara,2011,226505,150000
BMW 5-Series,Diesel,Good,Samara,2015,215552,923960
Kia K5,Diesel,Fair,Novosibirsk,2010,89561,344087
Nissan X-Trail,Hybrid,Fair,Krasnodar,2015,95463,534693
Toyota Corolla,Hybrid,Fair,Rostov,2021,68548,1092448
Lada Granta,Petrol,Good,Krasnodar,2024,114178,445733
Skoda Kodiaq,Hybrid,Fair,St. Petersburg,2017,15303,655697
Lada Vesta,Diesel,Used,Krasnodar,2011,38880,150000
BMW 5-Series,Diesel,Fair,Samara,2017,113624,1295758
BMW 3-Series,Petrol,Fair,Rostov,2012,151912,809065
Volkswagen Polo,Petrol,Used,St. Petersburg,2013,50574,282224
Toyota RAV4,Electric,Good,Novosibirsk,2020,221567,668970
Toyota RAV4,Hybrid,Excellent,Ekaterinburg,2010,156436,277477
Volkswagen Polo,Electric,Good,Novosibirsk,2020,67683,888254
Kia K5,Diesel,Good,Krasnodar,2024,89091,1380274
Skoda Kodiaq,Diesel,Excellent,St. Petersburg,2017,40168,714657
Skoda Rapid,Electric,Excellent,Ekaterinburg,2011,192421,255337
Mercedes-Benz E-Class,Hybrid,Fair,Ekaterinburg,2010,7538,527157
BMW 3-Series,Diesel,Fair,Krasnodar,2018,35700,1710624
Skoda Rapid,Diesel,Fair,Rostov,2015,236779,473035
Renault Sandero,Diesel,Good,Krasnodar,2022,178311,867164
Hyundai Solaris,Hybrid,Good,Krasnodar,2022,283620,794418
Nissan Qashqai,Petrol,Fair,Kazan,2017,83682,635907
Kia Rio,Petrol,Good,Rostov,2018,132879,652372
Nissan Juke,Hybrid,Excellent,Samara,2024,253579,1073921
Renault Sandero,Hybrid,Excellent,Kazan,2014,245995,428941
Mercedes-Benz E-Class,Hybrid,Excellent,Rostov,2023,73094,2963635
Lada Niva,Hybrid,Used,Krasnodar,2012,232565,150000
Hyundai Creta,Petrol,Fair,Rostov,2022,289388,745665
Nissan X-Trail,Petrol,Used,Samara,2020,113960,932763
Hyundai Solaris,Petrol,Used,Ekaterinburg,2013,295787,389971
Kia Rio,Petrol,Used,Rostov,2016,100320,640832
Kia Rio,Electric,Fair,Moscow,2017,295948,408642
Volkswagen Polo,Petrol,Good,Ekaterinburg,2021,132754,871648
Hyundai Solaris,Diesel,Good,Ekaterinburg,2020,211911,592654
Renault Logan,Diesel,Good,Moscow,2023,83979,1241574
Lada Niva,Petrol,Good,Kazan,2011,113722,194130
BMW 3-Series,Petrol,Good,Rostov,2014,181826,824681
Lada Granta,Diesel,Good,Ekaterinburg,2019,281002,281726
Hyundai Tucson,Petrol,Used,Samara,2016,266041,309385
Lada Niva,Petrol,Fair,Moscow,2024,128303,411229
Renault Sandero,Petrol,Excellent,Krasnodar,2019,36813,675641
Volkswagen Tiguan,Diesel,Excellent,Rostov,2013,207824,265067
Lada Vesta,Electric,Good,Ekaterinburg,2010,278942,150000
Renault Duster,Diesel,Good,Krasnodar,2014,140609,295879
Toyota Corolla,Electric,Fair,Novosibirsk,2016,160740,567874
Toyota RAV4,Electric,Fair,Moscow,2023,57284,1178639
BMW X5,Hybrid,Fair,Moscow,2023,192323,2750965
Skoda Octavia,Petrol,Fair,Kazan,2019,200591,807611
Kia Sportage,Hybrid,Fair,Ekaterinburg,2018,89952,539925
Volkswagen Passat,Petrol,Fair,Krasnodar,2010,269016,150000
Nissan Juke,Diesel,Used,Rostov,2012,230439,212130
Mercedes-Benz C-Class,Petrol,Excellent,St. Petersburg,2024,218193,3078335
Mercedes-Benz C-Class,Diesel,Excellent,Krasnodar,2012,62844,690462
Mercedes-Benz GLE,Electric,Used,Rostov,2016,177406,1065755
Nissan X-Trail,Petrol,Good,Rostov,2024,238023,1154423
Lada Niva,Diesel,Used,Samara,2015,292694,216661
BMW X5,Petrol,Excellent,Rostov,2021,78924,2461512
Lada Granta,Hybrid,Excellent,Kazan,2024,33655,574878
Kia Sportage,Diesel,Excellent,St. Petersburg,2019,73024,649378
Kia Sportage,Hybrid,Fair,Ekaterinburg,2018,92865,664078
Mercedes-Benz GLE,Hybrid,Excellent,St. Petersburg,2023,154128,3020872
BMW X5,Diesel,Fair,St. Petersburg,2022,32701,2861432
Hyundai Creta,Petrol,Fair,Novosibirsk,2023,157703,999199
Lada Vesta,Electric,Fair,St. Petersburg,2014,221197,150000
Nissan X-Trail,Petrol,Fair,Novosibirsk,2013,22711,265761
Skoda Kodiaq,Hybrid,Fair,Kazan,2011,231727,166107
Volkswagen Passat,Hybrid,Used,Moscow,2012,281113,180155
Lada Granta,Petrol,Good,Kazan,2011,97832,169728
Hyundai Solaris,Electric,Fair,Novosibirsk,2014,133928,338692
Nissan X-Trail,Electric,Excellent,Rostov,2021,233893,946669
Hyundai Solaris,Hybrid,Excellent,Ekaterinburg,2023,244323,1059505
Skoda Octavia,Petrol,Used,Moscow,2014,34331,274986
Renault Logan,Electric,Used,St. Petersburg,2010,44811,211205
Volkswagen Polo,Petrol,Excellent,Kazan,2015,294083,246147
Nissan X-Trail,Petrol,Fair,St. Petersburg,2014,36857,258068
BMW X5,Diesel,Good,Rostov,2011,284307,420194
Lada Vesta,Electric,Excellent,Samara,2016,144830,150000
Volkswagen Polo,Electric,Good,Moscow,2013,231521,216229
Skoda Octavia,Petrol,Excellent,Novosibirsk,2014,246429,204823
Nissan X-Trail,Petrol,Excellent,Ekaterinburg,2019,231765,758172
Lada Niva,Petrol,Used,Ekaterinburg,2010,142040,209932
BMW 3-Series,Diesel,Good,Moscow,2017,268751,1075083
Nissan X-Trail,Electric,Used,Rostov,2016,32416,625151
Toyota Camry,Diesel,Used,Moscow,2016,125832,421287
Renault Duster,Electric,Good,St. Petersburg,2014,179627,267709
BMW 5-Series,Electric,Excellent,Rostov,2024,75940,3494991
BMW 3-Series,Electric,Used,Krasnodar,2012,166902,660959
Mercedes-Benz GLE,Diesel,Good,Rostov,2022,133014,2643218
Skoda Octavia,Hybrid,Excellent,Krasnodar,2024,33562,1510528
Hyundai Tucson,Petrol,Used,Moscow,2013,92846,388668
Nissan Qashqai,Petrol,Used,Moscow,2012,102996,363260
Skoda Octavia,Hybrid,Excellent,Moscow,2021,294613,828008
Lada Granta,Diesel,Fair,St. Petersburg,2023,182502,553576
Mercedes-Benz C-Class,Diesel,Good,Kazan,2010,134438,547404
Toyota Corolla,Hybrid,Excellent,St. Petersburg,2022,198796,835070
BMW X5,Petrol,Used,Novosibirsk,2017,13639,1394425
Nissan Juke,Hybrid,Fair,Ekaterinburg,2017,6965,646996
Renault Duster,Electric,Good,Kazan,2016,259518,397270
Toyota RAV4,Hybrid,Used,Kazan,2012,166461,398784
Lada Vesta,Petrol,Used,Ekaterinburg,2010,173854,150000
Lada Niva,Hybrid,Good,Moscow,2013,106215,150000
Renault Logan,Petrol,Good,Samara,2019,62790,677291
Skoda Rapid,Diesel,Fair,Ekaterinburg,2013,185048,314023
Kia Rio,Petrol,Good,Kazan,2016,207570,302054
Lada Niva,Hybrid,Used,Samara,2018,265872,193042
Toyota RAV4,Petrol,Fair,St. Petersburg,2020,59708,853796
Hyundai Solaris,Electric,Good,St. Petersburg,2012,172829,175217
Renault Duster,Hybrid,Excellent,Ekaterinburg,2011,60150,168844
Volkswagen Polo,Diesel,Fair,Rostov,2019,106802,618007
Kia Sportage,Hybrid,Good,Samara,2013,43915,368919
Lada Vesta,Diesel,Fair,Rostov,2018,259297,333440
Mercedes-Benz E-Class,Petrol,Good,Kazan,2020,277972,1849796
Hyundai Creta,Electric,Good,Ekaterinburg,2021,74042,850727
Kia K5,Electric,Good,Rostov,2011,30483,352451
Renault Sandero,Hybrid,Good,Ekaterinburg,2010,182968,335631
Toyota Corolla,Hybrid,Used,Moscow,2012,185139,282013
Skoda Octavia,Hybrid,Used,Samara,2024,63439,1318252
Toyota Corolla,Diesel,Excellent,Rostov,2017,121469,509946
Mercedes-Benz E-Class,Hybrid,Fair,Samara,2019,220081,1578604
BMW 3-Series,Electric,Used,Rostov,2012,81447,775427
Skoda Rapid,Diesel,Good,Kazan,2017,103458,549229
Toyota Corolla,Petrol,Fair,Novosibirsk,2021,142082,846455
Nissan X-Trail,Petrol,Fair,Rostov,2020,67096,753944
Kia K5,Hybrid,Excellent,Novosibirsk,2013,37498,244088
Renault Duster,Hybrid,Good,Moscow,2016,298625,550089
Lada Vesta,Electric,Fair,Novosibirsk,2018,286308,200924
Renault Logan,Electric,Excellent,Novosibirsk,2013,213965,397549
Lada Niva,Hybrid,Good,St. Petersburg,2010,18461,150000
BMW 3-Series,Electric,Fair,St. Petersburg,2022,64956,2742840
BMW X5,Diesel,Used,Novosibirsk,2018,17557,1754288
Toyota RAV4,Diesel,Used,Novosibirsk,2024,185431,1315228
Renault Duster,Diesel,Excellent,St. Petersburg,2019,35105,739256
Lada Granta,Diesel,Fair,Rostov,2013,191507,150000
Kia K5,Hybrid,Fair,Novosibirsk,2010,233274,150000
Hyundai Creta,Electric,Fair,Kazan,2015,56120,550496
Volkswagen Tiguan,Petrol,Good,Novosibirsk,2012,55437,406672
Renault Sandero,Hybrid,Excellent,Kazan,2012,74077,327050
Nissan X-Trail,Electric,Good,Krasnodar,2011,11261,150000
Renault Sandero,Diesel,Excellent,Ekaterinburg,2019,65371,727919
Renault Logan,Electric,Fair,Kazan,2013,97344,302832
Volkswagen Passat,Diesel,Excellent,St. Petersburg,2019,166557,757912
Mercedes-Benz GLE,Diesel,Used,Samara,2017,266510,1206374
Nissan Juke,Hybrid,Used,Samara,2015,225841,379626
Skoda Octavia,Petrol,Excellent,Ekaterinburg,2022,97899,1156450
Hyundai Tucson,Diesel,Good,Samara,2020,128224,812486
Kia K5,Electric,Fair,Kazan,2017,279063,415521
Mercedes-Benz GLE,Petrol,Good,Krasnodar,2023,278120,2437079
Toyota Camry,Hybrid,Excellent,Kazan,2021,198239,787518
Mercedes-Benz E-Class,Diesel,Excellent,Novosibirsk,2016,297869,984023
Mercedes-Benz E-Class,Diesel,Good,Krasnodar,2014,209065,885232
BMW 3-Series,Electric,Excellent,Rostov,2018,140607,1399960
Renault Sandero,Diesel,Fair,Krasnodar,2015,44158,326924
Lada Niva,Electric,Good,St. Petersburg,2020,213483,270017
Mercedes-Benz E-Class,Hybrid,Used,Kazan,2018,259245,1263274
BMW X5,Hybrid,Excellent,Samara,2013,89144,988704
Renault Logan,Petrol,Used,Krasnodar,2024,200322,1179490
Hyundai Tucson,Hybrid,Excellent,Kazan,2024,204586,1156143
Volkswagen Passat,Petrol,Good,St. Petersburg,2021,120081,1027594
Nissan Qashqai,Electric,Excellent,Moscow,2011,231376,161914
Mercedes-Benz C-Class,Petrol,Excellent,Krasnodar,2017,136071,1410994
Hyundai Solaris,Diesel,Excellent,Ekaterinburg,2012,148367,397534
BMW 3-Series,Petrol,Good,Ekaterinburg,2019,115663,1879435
Hyundai Creta,Electric,Fair,Rostov,2012,158946,150000
Toyota Camry,Electric,Fair,Krasnodar,2017,126311,437072
Skoda Kodiaq,Petrol,Good,St. Petersburg,2022,237533,808756
Volkswagen Tiguan,Petrol,Used,St. Petersburg,2017,266054,537007
Kia Sportage,Petrol,Good,Krasnodar,2010,291861,150000
Kia Rio,Hybrid,Fair,Ekaterinburg,2015,227017,310476
Nissan Qashqai,Electric,Excellent,Rostov,2013,157959,437771
Kia K5,Petrol,Good,Moscow,2014,92049,331664
Skoda Kodiaq,Diesel,Fair,St. Petersburg,2021,75480,983608
Hyundai Tucson,Electric,Used,Krasnodar,2017,109392,518105
Kia Rio,Hybrid,Used,St. Petersburg,2018,264342,528466
Volkswagen Passat,Diesel,Excellent,Kazan,2011,41556,174982
Nissan Qashqai,Petrol,Fair,Novosibirsk,2022,171788,907646
Hyundai Solaris,Electric,Fair,Novosibirsk,2012,288277,150000
Kia Rio,Petrol,Used,Rostov,2018,207329,441776
Lada Granta,Diesel,Used,St. Petersburg,2012,258963,150000
Kia Sportage,Diesel,Used,St. Petersburg,2013,181802,206764
Renault Duster,Petrol,Good,Novosibirsk,2011,242277,306792
Lada Niva,Petrol,Fair,Samara,2017,132756,350616
Skoda Rapid,Diesel,Excellent,Moscow,2016,213567,582863
BMW 3-Series,Hybrid,Good,Rostov,2012,267156,528596
Lada Niva,Electric,Excellent,Kazan,2015,157875,162146
Renault Duster,Hybrid,Fair,Krasnodar,2012,151825,273424
Kia Rio,Diesel,Good,Samara,2019,142446,815973
Skoda Rapid,Diesel,Good,Novosibirsk,2013,27549,468609
Volkswagen Polo,Petrol,Excellent,Samara,2024,174432,1295267
BMW 3-Series,Diesel,Good,Kazan,2023,23169,3220012
Mercedes-Benz GLE,Petrol,Excellent,Rostov,2019,43384,1937573
Lada Vesta,Hybrid,Good,Ekaterinburg,2024,23212,501010
Lada Niva,Diesel,Fair,Moscow,2014,213486,150000
Lada Granta,Hybrid,Excellent,Krasnodar,2011,196695,196054
Toyota RAV4,Electric,Fair,St. Petersburg,2015,66390,492225
Lada Vesta,Electric,Good,Ekaterinburg,2011,180670,150000
Renault Logan,Diesel,Good,Kazan,2024,242999,1050005
Hyundai Tucson,Diesel,Good,Samara,2021,118429,776200
Kia Sportage,Diesel,Good,Novosibirsk,2019,218292,517244
Skoda Kodiaq,Diesel,Good,Ekaterinburg,2013,282937,218474
Lada Vesta,Electric,Fair,Novosibirsk,2014,125658,170951
Volkswagen Polo,Hybrid,Excellent,Ekaterinburg,2012,16472,244397
Volkswagen Polo,Electric,Excellent,Moscow,2020,36691,783849
Renault Duster,Hybrid,Excellent,Kazan,2017,78485,585532
Toyota Camry,Petrol,Used,Moscow,2018,20827,644009
Renault Sandero,Diesel,Excellent,Ekaterinburg,2024,107495,1314380
BMW 5-Series,Hybrid,Used,Samara,2022,283648,2092540
Skoda Kodiaq,Petrol,Good,Kazan,2015,72154,320759
Mercedes-Benz E-Class,Electric,Excellent,Rostov,2016,119172,1085602
Toyota Camry,Diesel,Fair,Kazan,2017,205102,404670
BMW X5,Diesel,Used,Rostov,2011,124065,491686
BMW X5,Electric,Fair,Ekaterinburg,2012,182967,655530
Skoda Kodiaq,Electric,Good,Kazan,2016,169763,441958
Renault Logan,Hybrid,Used,Moscow,2019,98668,611557
Skoda Kodiaq,Electric,Used,Ekaterinburg,2019,277130,711255
Skoda Octavia,Petrol,Excellent,Novosibirsk,2012,124744,272459
Skoda Octavia,Diesel,Excellent,Novosibirsk,2015,144043,328130
Toyota RAV4,Petrol,Used,Rostov,2023,295330,924770
Nissan Juke,Electric,Used,Novosibirsk,2017,253097,498599
Toyota Corolla,Petrol,Good,Ekaterinburg,2016,7358,440474
Kia Rio,Diesel,Good,Krasnodar,2024,124911,1388325
Lada Niva,Petrol,Good,Novosibirsk,2020,288716,219118
Nissan Qashqai,Diesel,Excellent,Samara,2024,262148,1304587
Toyota RAV4,Hybrid,Fair,St. Petersburg,2020,55009,946429
Lada Vesta,Hybrid,Excellent,St. Petersburg,2010,236777,150000
Renault Duster,Petrol,Used,Ekaterinburg,2014,254081,183038
BMW X5,Petrol,Fair,Ekaterinburg,2015,96387,992733
Lada Niva,Petrol,Fair,Kazan,2024,125673,499114
Toyota Camry,Electric,Used,Ekaterinburg,2015,163557,397666
Mercedes-Benz C-Class,Electric,Fair,Samara,2019,134222,1879437
Volkswagen Polo,Electric,Fair,St. Petersburg,2022,41617,1105605
Hyundai Tucson,Electric,Good,Samara,2018,112603,560686
Nissan X-Trail,Electric,Used,Samara,2016,46437,563971
Mercedes-Benz C-Class,Diesel,Fair,Samara,2024,72633,3486048
Kia K5,Hybrid,Good,Moscow,2015,260840,256060
Lada Granta,Electric,Good,Novosibirsk,2024,178595,420404
Renault Duster,Electric,Used,Samara,2015,92235,351241
Hyundai Creta,Petrol,Good,Krasnodar,2013,239128,384504
Renault Logan,Hybrid,Excellent,Krasnodar,2021,98409,1078727
Volkswagen Tiguan,Hybrid,Fair,Novosibirsk,2014,144874,378956
BMW X5,Hybrid,Used,Moscow,2014,43507,904838
BMW X5,Electric,Excellent,Novosibirsk,2022,43438,2738506
Nissan Juke,Hybrid,Good,Rostov,2012,25881,292628
Skoda Kodiaq,Diesel,Excellent,Novosibirsk,2013,35368,261155
Hyundai Tucson,Hybrid,Used,Novosibirsk,2023,239981,1061774
Nissan Juke,Petrol,Excellent,Moscow,2015,203860,507968
Volkswagen Tiguan,Electric,Used,Krasnodar,2024,46389,1359917
Nissan Qashqai,Hybrid,Used,Ekaterinburg,2017,155520,456154
Lada Granta,Hybrid,Used,Ekaterinburg,2014,285539,150000
Toyota RAV4,Petrol,Fair,Krasnodar,2020,29065,859252
Mercedes-Benz C-Class,Diesel,Good,Kazan,2012,244012,526978
Lada Granta,Diesel,Fair,St. Petersburg,2021,113305,299213
Skoda Octavia,Petrol,Used,Novosibirsk,2024,61783,1457056
Skoda Octavia,Diesel,Used,Kazan,2020,189413,682979
Toyota RAV4,Diesel,Good,St. Petersburg,2011,145652,150000
Hyundai Solaris,Hybrid,Used,Rostov,2018,83328,622909
BMW X5,Diesel,Used,Moscow,2021,253828,2078046
Lada Niva,Petrol,Good,Rostov,2022,198581,300995
Mercedes-Benz E-Class,Hybrid,Excellent,Novosibirsk,2021,78961,2295359
Toyota Camry,Diesel,Excellent,Krasnodar,2014,255335,285702
BMW X5,Diesel,Excellent,Moscow,2024,45976,3514275
Toyota RAV4,Hybrid,Excellent,Rostov,2015,184928,420095
BMW 5-Series,Diesel,Good,Moscow,2023,56370,3254494
Toyota Camry,Hybrid,Used,Samara,2016,60689,554850
Skoda Octavia,Electric,Good,Rostov,2023,180700,986185
Kia Sportage,Electric,Excellent,Kazan,2013,233111,205873
Hyundai Tucson,Diesel,Used,Samara,2022,265791,826150
BMW X5,Hybrid,Excellent,Samara,2012,120437,590608
Lada Niva,Diesel,Excellent,Samara,2016,150892,212486
Volkswagen Tiguan,Electric,Fair,Rostov,2020,228260,752832
Lada Niva,Hybrid,Excellent,Krasnodar,2023,207298,374232
Volkswagen Passat,Diesel,Used,Moscow,2012,222900,194605
Kia K5,Hybrid,Used,Rostov,2019,237926,572016
Renault Duster,Petrol,Used,Ekaterinburg,2019,167816,785667
Hyundai Creta,Diesel,Good,Krasnodar,2013,195296,391572
Mercedes-Benz C-Class,Hybrid,Excellent,Kazan,2015,258916,920088
Volkswagen Tiguan,Diesel,Fair,Kazan,2017,297776,596129
Lada Granta,Diesel,Used,Kazan,2011,84718,150000
Skoda Rapid,Diesel,Fair,Moscow,2017,94257,560208
Kia K5,Petrol,Fair,Ekaterinburg,2021,199768,754337
Hyundai Creta,Petrol,Good,Rostov,2014,206550,245731
Renault Sandero,Hybrid,Excellent,Novosibirsk,2013,236018,364284
Volkswagen Passat,Diesel,Excellent,Ekaterinburg,2018,153199,739963
Volkswagen Passat,Electric,Excellent,Kazan,2015,123272,533716
Kia Rio,Petrol,Good,Kazan,2014,38179,393568
Volkswagen Tiguan,Petrol,Used,Kazan,2012,16310,200592
Hyundai Creta,Petrol,Good,Samara,2019,213550,606381
Lada Vesta,Diesel,Good,Ekaterinburg,2018,31787,356148
Skoda Kodiaq,Petrol,Excellent,Samara,2013,107320,470279
Hyundai Tucson,Diesel,Excellent,Ekaterinburg,2018,31538,733193
Lada Granta,Hybrid,Good,Moscow,2012,59129,150000
Kia Rio,Electric,Good,Rostov,2019,38117,657658
Hyundai Tucson,Petrol,Good,Rostov,2019,40503,735157
Hyundai Tucson,Hybrid,Good,Ekaterinburg,2024,22902,1430886
Toyota Corolla,Petrol,Used,St. Petersburg,2016,51930,564549
Toyota Corolla,Hybrid,Excellent,Krasnodar,2013,91774,301344
Toyota RAV4,Petrol,Fair,Kazan,2015,253789,333936
